Ngày đăng,Năm SX,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Tình trạng,Nhiên liệu,Giá
2025-10-14,-1.1620662189376876,Việt Nam,"undefined, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Hatchback,0.35862306888968803,Tự động,Đã sử dụng,Xăng,-0.7630187870066132
2025-10-14,-0.7772428428286424,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,0.44753302200609435,Tự động,Đã sử dụng,Xăng,-0.5915228232521181
2025-10-14,-0.2000077786650747,Đang cập nhật,"Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Unknown,0.39418705013625055,Tự động,Đã sử dụng,Xăng,-0.46933194907704046
2025-10-14,-1.3544779069922102,Đang cập nhật,"Phường Bồ Đề, Quận Long Biên, Hà Nội",Minivan (MPV),0.518696548480466,Tự động,Đã sử dụng,Xăng,-0.795174280210581
2025-10-14,0.7620506616075382,Đang cập nhật,"Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Sedan,-0.8327703028701565,Tự động,Đã sử dụng,Xăng,0.3302679819282927
2025-10-14,-0.969654530883165,Đang cập nhật,"Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Sedan,0.3408410782664068,Bán tự động,Đã sử dụng,Xăng,1.391399257659231
2025-10-14,-0.2000077786650747,Đang cập nhật,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,-0.9394978105910906,Tự động,Đã sử dụng,Xăng,0.6303859184986591
2025-10-14,-1.5468895950467327,Đài Loan,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Hatchback,1.5500164406495327,Tự động,Đã sử dụng,Xăng,-0.7565876883658197
2025-10-14,-0.7772428428286424,Đang cập nhật,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Unknown,-0.8934246728861689,Tự động,Đã sử dụng,Xăng,-0.3985898640283112
2025-10-14,-0.5848311547741198,Đang cập nhật,"Phường Bồ Đề, Quận Long Biên, Hà Nội",Minivan (MPV),0.30531266100109083,Tự động,Đã sử dụng,Xăng,-0.5486488323134944
